,keypoint_coords,keypoint_scores
10,"[[57.634191069492076, 397.5315327621533], [36.54610469729401, 412.48871579694975], [22.39195377882137, 372.3558402175538], [30.67041623315146, 444.0785735645933], [40.10695670371832, 326.65986421575957], [155.36635376686274, 471.8649627831564], [154.37420361541038, 311.5176581423819], [297.2359741122224, 508.72711181640625], [277.7093288953914, 282.47153834292766], [412.7427205817644, 514.1634036707536], [399.41208036555804, 274.90035207648026], [393.102853331455, 440.76993075284093], [406.60972763771235, 335.53164541436155], [604.1275947925657, 442.59404086610346], [596.8556860103164, 325.35400390625], [737.3472486928453, 462.0112368935033], [726.1202118008636, 336.88886870607803]]","[0.9822543859481812, 0.896560788154602, 0.9415367841720581, 0.4618987739086151, 0.5341858863830566, 0.3372282385826111, 0.9924091100692749, 0.9726167917251587, 0.9379860162734985, 0.5405641794204712, 0.8817178010940552, 0.9842711687088013, 0.9843086004257202, 0.9701945185661316, 0.970366895198822, 0.8976252675056458, 0.9318947792053223]"
11,"[[58.54033266111862, 394.76310656971907], [35.5933276331702, 409.485946728282], [23.373824474423433, 372.46782950807415], [31.08262115301088, 443.56381064967104], [39.834500734196155, 326.08828895970396], [155.74761324150617, 471.4331711764541], [155.8675528237986, 311.27955094478915], [286.74847580665767, 511.2441797575882], [278.542446668758, 277.35619649932715], [407.4091190959132, 508.8701837713068], [405.8644104003906, 259.4473660847787], [397.75087746908497, 442.1128385260915], [399.24180798197904, 336.8570924603768], [603.7610994383347, 441.5519283604964], [591.4301111088242, 332.9954185668361], [733.8501976534378, 459.20405775736396], [718.8966060682785, 336.61162307958284]]","[0.9786515235900879, 0.881977915763855, 0.9465787410736084, 0.4593143165111542, 0.5646740198135376, 0.37153974175453186, 0.9928651452064514, 0.9748809337615967, 0.9616560339927673, 0.6382743716239929, 0.8901474475860596, 0.9865232706069946, 0.49764928221702576, 0.9728769063949585, 0.9702302813529968, 0.902698814868927, 0.932278037071228]"
12,"[[55.72525454676428, 400.2719992313659], [21.13128276203954, 413.4996448863636], [24.761757296185163, 375.61620100833585], [30.857537602269375, 440.82501425127094], [40.4851298221322, 327.08744322854363], [150.9501811182776, 468.72569837068255], [155.25157280855402, 314.80798164623207], [278.97156671036123, 505.1690031352796], [263.97809538730354, 251.3777065733403], [399.4159855509913, 506.1939819920006], [373.57734817682314, 281.08809621710526], [392.4757844791856, 445.2005194705069], [410.24237521859106, 339.6955630653783], [592.2506063150805, 443.5511422043212], [585.186733689419, 337.05576335414173], [733.7336900677792, 458.8682943097712], [730.7428018436875, 347.67249586479517]]","[0.9769246578216553, 0.9422534704208374, 0.9478243589401245, 0.4237593412399292, 0.5899598598480225, 0.40626102685928345, 0.9934309720993042, 0.9745388031005859, 0.9803493022918701, 0.6754723787307739, 0.9021707773208618, 0.987038254737854, 0.9817049503326416, 0.9795465469360352, 0.96732097864151, 0.9006997346878052, 0.8803161978721619]"
13,"[[58.863250554994096, 392.36539443714196], [37.85723291441452, 411.6965758401241], [27.048725216887718, 373.7896830727609], [33.777939197628996, 439.1416529605263], [44.09411323902219, 325.6498345918062], [153.75444438845614, 469.6508117383747], [158.55778782866722, 311.73207844273327], [279.45522707562117, 505.9484658857282], [301.3858036662257, 256.18419008391896], [402.5151155161303, 509.6077162455143], [407.91865131466886, 254.90018269662082], [395.3612441129463, 444.0942937677557], [409.68654293237734, 344.2409095581639], [591.9570654935616, 443.37319113991475], [585.4751568284146, 339.91410396886215], [731.6414440620778, 465.7810295141485], [731.9848980349163, 353.195786179538]]","[0.97458815574646, 0.8791207075119019, 0.9434639811515808, 0.4291228652000427, 0.5756778120994568, 0.3703734874725342, 0.9932132959365845, 0.9753643274307251, 0.8658289909362793, 0.6782047748565674, 0.8732359409332275, 0.9885827302932739, 0.9798867702484131, 0.9760112166404724, 0.9691255688667297, 0.9101370573043823, 0.8700900077819824]"
14,"[[56.22770704225052, 399.85455964740953], [35.828419796256135, 411.766891844535], [25.712677822556607, 372.8418640428753], [32.579226782155594, 440.16936233739534], [44.08225281294002, 322.9122939406399], [156.9152384913245, 470.9117265181108], [156.8896091372468, 311.5056584554426], [282.4525954667912, 503.01796945088216], [268.29090029694316, 260.8222224039324], [404.98033310646235, 512.1031838741029], [414.7774292701899, 255.49768475254186], [396.7988326272299, 438.97784511438397], [413.3159923553467, 344.49803402549344], [598.6486101815867, 443.85178561415967], [586.8965309497922, 339.4141413492449], [732.3371481230092, 451.99867942116475], [719.2426858059196, 327.5923353861393]]","[0.9745139479637146, 0.8671255111694336, 0.9437826871871948, 0.41273367404937744, 0.579258143901825, 0.3491929769515991, 0.9938430190086365, 0.9769014120101929, 0.9775143265724182, 0.5829071402549744, 0.8258126378059387, 0.9862850904464722, 0.9787805676460266, 0.9723101854324341, 0.961632490158081, 0.8899495005607605, 0.9165284633636475]"
15,"[[51.25423608824264, 392.50542485542843], [18.333507138629294, 411.8291958895597], [21.067645560863408, 369.3602026250374], [31.15097764480946, 441.0728637111244], [38.60800166462743, 322.9246878738038], [162.43664790308753, 443.9454293136962], [156.59838308289994, 301.4259301874626], [319.930351434752, 504.4005690579209], [286.39935222891876, 273.7682404586573], [394.28863454419513, 511.12378280128587], [405.8926348131757, 253.63191303453948], [411.85440427203514, 428.76011606608853], [409.7247318667035, 341.19950143914474], [597.3904098244601, 442.1492435145036], [586.9068796911905, 336.4722468179949], [731.3030251015065, 457.0672023353394], [719.6240082674249, 330.9621447695499]]","[0.9734085202217102, 0.9335581064224243, 0.9380106329917908, 0.3971593677997589, 0.542005717754364, 0.9660732746124268, 0.9922782182693481, 0.9306979179382324, 0.9421528577804565, 0.6779810786247253, 0.8539940118789673, 0.9037978053092957, 0.9781044125556946, 0.9732926487922668, 0.9685335755348206, 0.8852953910827637, 0.9131269454956055]"
16,"[[50.464204477709394, 396.3549122057463], [19.34247793153275, 412.51305247037607], [20.84545468175134, 372.2038509971217], [30.54120813414108, 440.03163314892345], [37.919211986453035, 325.3809995514354], [162.53864252844522, 447.4927925949462], [153.15012324133585, 306.3562712600927], [317.13213490330895, 504.08706738047624], [281.138824950817, 276.490875682192], [383.7187210792719, 503.10635653409093], [414.07997574917107, 234.97351249439293], [386.99823911799945, 439.2485082890999], [407.86097896930784, 343.6598957554575], [599.4710611299028, 447.0931028521232], [591.7799023472986, 342.5725529866926], [734.4567194040432, 461.83230459404905], [731.0026793369027, 347.193314401727]]","[0.9748607873916626, 0.9428128004074097, 0.9494609832763672, 0.45844075083732605, 0.5768685936927795, 0.9720194339752197, 0.9927980303764343, 0.9357423782348633, 0.9523135423660278, 0.7313017249107361, 0.9059820175170898, 0.9868282675743103, 0.9799596071243286, 0.9817236661911011, 0.9688123464584351, 0.8836487531661987, 0.8728195428848267]"
17,"[[51.30955744898596, 403.5887927187687], [19.24515063263649, 416.22922176379336], [22.582547298697538, 376.7110738799903], [31.24409427199253, 442.66952587657], [40.65381178745004, 328.6350261195425], [163.9531258871389, 448.69211589320423], [155.44430630706077, 306.52571244673294], [326.9754067354424, 505.62891617916415], [288.0839547445608, 276.0299463591507], [384.82723630860795, 498.2913018185556], [420.10500921205033, 239.76695083545155], [387.798345477082, 439.9366519325658], [413.1228998317275, 341.79610402960526], [598.0572769253753, 444.5048676267195], [591.6896390249563, 340.95019472843154], [733.1816614006841, 452.74838096217104], [730.0968920463739, 355.59247030595844]]","[0.9765206575393677, 0.9293490648269653, 0.9470465183258057, 0.3860684037208557, 0.5910007953643799, 0.970754861831665, 0.9932770729064941, 0.9132096767425537, 0.9563858509063721, 0.8745769262313843, 0.8841668367385864, 0.9833142757415771, 0.9767804145812988, 0.9780751466751099, 0.9638791084289551, 0.8761524558067322, 0.8786901235580444]"
18,"[[50.946967280188275, 405.18745531876124], [18.554939026056335, 420.21561764073715], [22.12985914806987, 379.45695794940565], [29.392878909443702, 448.08440724058016], [40.093360989592796, 332.3515297921651], [161.42866285457168, 453.0297647138532], [153.97382132951603, 312.4425889886737], [323.0962222786837, 516.9906280371561], [288.4413012571113, 281.3623689350329], [369.70135400461595, 510.5840918436005], [426.4043252634448, 239.68106648568332], [392.234500707582, 438.06940836199163], [413.2947594842245, 344.3206115430622], [605.3507776038591, 444.27597118907], [593.026686335719, 345.61031651839113], [740.5088985312817, 451.55190499775716], [727.9429539525232, 335.2881647867449]]","[0.9778064489364624, 0.9362121820449829, 0.954451322555542, 0.39235448837280273, 0.6129581332206726, 0.9767670631408691, 0.9940633773803711, 0.9283164739608765, 0.9486141204833984, 0.9572814702987671, 0.878049373626709, 0.9859539866447449, 0.9785273671150208, 0.9841738939285278, 0.9707450866699219, 0.8705206513404846, 0.9136698842048645]"
19,"[[47.9471549987793, 404.09630150315866], [15.127875838168832, 418.388686476712], [17.718038891637047, 378.0533304168847], [26.35593272364417, 448.742523923445], [34.48742950794309, 330.3180603319378], [162.36014406071152, 452.5166663941014], [154.2309211021246, 315.3618421052632], [320.9261611228766, 512.6144730417352], [271.0237585112106, 255.45104396400268], [366.70834430428437, 517.1734648344049], [430.31053108392763, 261.35449569191087], [398.1806289539781, 438.36172879597785], [412.3867826129115, 346.9707872308612], [607.719066287196, 443.1392687929874], [591.2252715354742, 346.74668015475476], [747.3447096070578, 445.73733973160887], [725.3272796453432, 340.82122072648775]]","[0.9781671762466431, 0.9440408945083618, 0.9599937200546265, 0.4314810335636139, 0.6296398043632507, 0.9764096140861511, 0.9936189651489258, 0.9420405626296997, 0.9839093685150146, 0.9741701483726501, 0.7639726400375366, 0.988075852394104, 0.9788629412651062, 0.9872114658355713, 0.9756141901016235, 0.8673831224441528, 0.9108988642692566]"
20,"[[50.87824861393418, 400.49541710666495], [16.34761956680653, 415.7900110272129], [19.699443373569224, 376.200882761102], [26.333698361418968, 446.723907324686], [34.943520523781004, 331.2212988748505], [159.1332893371582, 452.4093233683463], [152.57383754641512, 313.56436259438544], [309.4931449890137, 517.9855478095095], [265.97036037888637, 256.7326362281325], [366.7410785763763, 524.8447604384719], [423.3192413684934, 266.1763489645634], [391.3739395585171, 440.9299655165969], [409.28359550653505, 346.04809336685105], [595.1391208116398, 444.24912448134717], [588.6294632845147, 345.95006331302335], [745.9863054197888, 450.15464381167766], [724.3435319412587, 336.46624551435406]]","[0.9774709343910217, 0.9408389329910278, 0.9570555686950684, 0.4252912402153015, 0.6130145192146301, 0.9763987064361572, 0.9936094284057617, 0.9533287286758423, 0.9788888692855835, 0.9820994138717651, 0.8068023324012756, 0.9887306690216064, 0.9788665175437927, 0.9865312576293945, 0.9737263321876526, 0.879989743232727, 0.9142687916755676]"
21,"[[52.36895867281182, 399.2040300141111], [15.776445255723111, 415.20651785380534], [18.861924393232478, 375.33709074321547], [27.53796306876249, 449.14498215086724], [34.45452517132426, 329.68983627392345], [161.6467548636503, 450.1913262326181], [155.15432739257812, 309.12037534576854], [312.82704588424326, 516.9974908418062], [287.2188648401305, 293.7183142849133], [353.9252866700638, 528.7363503196023], [412.07834776057757, 258.5074860057192], [389.90809986203215, 440.29383901203647], [412.13829235697904, 346.75599020633973], [597.8892216793326, 445.88109066611844], [586.7763142253077, 342.2399376682117], [748.4527264528497, 453.5584985468376], [746.325536123542, 341.7498574872907]]","[0.9801731705665588, 0.94379723072052, 0.9578111171722412, 0.44988664984703064, 0.6193356513977051, 0.9754760265350342, 0.9937379360198975, 0.9436076879501343, 0.8860721588134766, 0.9863826036453247, 0.9440903067588806, 0.986984372138977, 0.976723313331604, 0.9859973788261414, 0.9667556881904602, 0.8457974791526794, 0.8743035793304443]"
22,"[[49.344827164051146, 403.1125987659801], [19.173970754756485, 417.18426426061603], [22.60676732174186, 378.8375460245963], [32.474350507869275, 452.7367054332386], [42.424252798390945, 334.25925514914775], [157.54139718344047, 466.9014174173893], [165.64705045833145, 305.67277534156324], [271.3945936602216, 514.6603145325583], [315.32313963424326, 256.04064065303527], [388.6303168895633, 552.2040583414324], [420.55474268835644, 311.3684607692883], [405.30432965034663, 452.06213554126793], [419.61062001904776, 348.1648626738188], [610.2610176219497, 453.77667440752094], [593.4374205123547, 346.0803923538427], [751.8703211407329, 449.4982238477497], [715.4741850121077, 339.2266144820948]]","[0.9785094261169434, 0.9325872659683228, 0.9460346102714539, 0.4767239987850189, 0.6164587140083313, 0.9943109750747681, 0.9768151640892029, 0.9755685329437256, 0.8159545660018921, 0.9780365228652954, 0.6162238717079163, 0.9899742603302002, 0.9649043679237366, 0.9863513708114624, 0.966463565826416, 0.8464904427528381, 0.9104458689689636]"
23,"[[49.432303317757544, 405.60793205881805], [19.28451899595039, 420.7216633335825], [23.06559511672619, 380.1026887300482], [31.228105057117553, 457.81273946807715], [42.204450696013694, 339.35218044445276], [157.7229505139728, 468.6827576559696], [161.4000290271848, 310.5934778240879], [271.5092990342961, 518.5471325742001], [311.5367915131325, 264.3756804397802], [389.2644371210143, 552.1776146409615], [420.3669489344885, 317.08077900717706], [402.06437051019003, 459.4512150960676], [415.8332496909208, 351.99332059285285], [612.0899781515432, 456.6177119934958], [594.9239702890086, 353.3784857206938], [750.0192876527476, 454.415037894363], [716.4281824466794, 337.0646149119692]]","[0.9790458679199219, 0.9271359443664551, 0.9405126571655273, 0.42684730887413025, 0.5935510993003845, 0.994215190410614, 0.9787113666534424, 0.9729225635528564, 0.8465843200683594, 0.9728739857673645, 0.5163863301277161, 0.9925359487533569, 0.9532949924468994, 0.9845293760299683, 0.958720862865448, 0.8440308570861816, 0.896806001663208]"
24,"[[49.329351292100064, 406.34389338881203], [18.597052041874377, 423.62782747551586], [22.278089279352233, 384.7349672454396], [30.772684851358104, 456.5368593936902], [42.19773944588595, 344.1896487879411], [157.83659141008243, 469.76930317125823], [158.7358170442803, 314.3545751252243], [275.1397200296092, 522.5573467637934], [309.10120924129046, 265.90285305771533], [395.08589074778, 552.6624060817883], [411.8887281750524, 321.09066611842104], [405.5086180886557, 463.37113813920456], [417.2685616238173, 353.15495687238337], [619.9255059707997, 461.82844974207535], [593.4164269913075, 356.0840544632177], [761.3799704618233, 469.4401732814369], [717.8788596308509, 333.98224315004484]]","[0.9783726930618286, 0.9126120805740356, 0.9366195201873779, 0.40728938579559326, 0.6084694862365723, 0.9947973489761353, 0.9782767295837402, 0.977601945400238, 0.8539150953292847, 0.9702714681625366, 0.5210981369018555, 0.9931870698928833, 0.9580940008163452, 0.9881455898284912, 0.962496280670166, 0.8673657774925232, 0.8926181197166443]"
25,"[[48.12112471114757, 407.9418989117636], [18.45795500555704, 426.2029445228394], [22.312223434448242, 388.13745453026877], [42.376518205154774, 430.0365626869019], [43.23381978412007, 351.50443191163276], [156.28650993524596, 469.92203123831865], [167.61921319296195, 309.06081204209033], [272.47478369779367, 529.881101179351], [304.3133826144906, 262.96444249495363], [394.4044358896655, 551.1703184574985], [403.5487299187239, 321.42905203349284], [403.24221222899683, 465.41779586572966], [415.97047916678497, 353.6837432715311], [614.2370947682581, 459.53270433051733], [590.7760681329771, 355.5757630270634], [742.6523084695949, 457.8075470992823], [709.3902871775073, 332.9633210834704]]","[0.9793614745140076, 0.9381540417671204, 0.9460310935974121, 0.4101526737213135, 0.6071903109550476, 0.9952231645584106, 0.8940304517745972, 0.9755563139915466, 0.8652758002281189, 0.972396194934845, 0.5134927034378052, 0.9944148063659668, 0.9539415836334229, 0.9885214567184448, 0.9610983729362488, 0.8809853196144104, 0.9000580906867981]"
26,"[[59.39136389798897, 393.63350754149224], [22.803391833638038, 435.58777731571473], [26.736099376234897, 395.9100356398587], [44.90595090112021, 427.3066674921501], [48.15058051708133, 355.1664945611543], [159.02466849393625, 477.4519443055659], [148.15171263938726, 301.5511194256504], [312.90812887147416, 533.6015998803828], [289.07782128799795, 325.09146512410285], [367.5425045102142, 531.0985919277064], [403.72943292662154, 287.4928831255607], [402.1961642198784, 468.4524784361917], [409.7450293829275, 353.81087161707535], [610.9702339394148, 463.0504027736244], [592.1576975445415, 353.70875308388156], [742.1736618585365, 462.0420085414175], [716.0854299900144, 333.5407019802258]]","[0.9180395603179932, 0.93842613697052, 0.9521828889846802, 0.4149242639541626, 0.6510524749755859, 0.443520188331604, 0.5230711102485657, 0.9518498182296753, 0.5853085517883301, 0.972662091255188, 0.9520947933197021, 0.9950365424156189, 0.9569793939590454, 0.9907559156417847, 0.9720218181610107, 0.8974007368087769, 0.9017287492752075]"
27,"[[52.36169943698617, 420.27833199386964], [19.161916644074196, 439.62306264484897], [22.77725543532261, 397.5518127149372], [41.49896005142567, 430.34983365729664], [44.10112682608671, 359.89994322854363], [158.91235662061115, 474.81266441527737], [167.1738897811535, 306.39761746785285], [319.10386302859285, 536.2344871411483], [320.43502736646076, 270.6732761802856], [381.80571245592694, 532.1537350011214], [398.5356496766556, 327.20753354889354], [411.7469124683114, 467.6699259634794], [421.990768439548, 350.6488621177856], [624.5101724114529, 463.5061309668436], [600.6158158501913, 351.78538053229664], [761.1764536125715, 470.81851648942137], [713.7608699355014, 333.3226750570051]]","[0.980072021484375, 0.9270903468132019, 0.9435703754425049, 0.3597683310508728, 0.6180590987205505, 0.9951201677322388, 0.9058319330215454, 0.9384762644767761, 0.8482562303543091, 0.9724271297454834, 0.4550078213214874, 0.9944644570350647, 0.9853067398071289, 0.9882267713546753, 0.9575955867767334, 0.8465180993080139, 0.886968731880188]"
28,"[[53.66018934028094, 414.5733920010653], [20.407092892846396, 432.51217782782595], [23.246276079222213, 392.718606748079], [44.5744510473207, 428.9151745663876], [45.27048421460529, 357.7745180266896], [160.78460644566735, 474.0869126023288], [123.58175978549691, 333.70318107057415], [317.4873556092728, 534.5671643708881], [276.51382880987126, 280.37104410417913], [377.44737434387207, 529.8332834928229], [390.1344116565793, 328.30122514204544], [417.70158763818966, 472.3752225300912], [419.06677905348846, 353.7260999177632], [620.0852217563363, 465.47359776839113], [597.3127974133159, 353.6006653708134], [761.6042414820472, 478.0568523498243], [706.0947106383568, 327.7194637316836]]","[0.980334997177124, 0.9308878183364868, 0.9389857053756714, 0.37877029180526733, 0.6034195423126221, 0.995488166809082, 0.21883946657180786, 0.9330843091011047, 0.9729952216148376, 0.9761316776275635, 0.2628500163555145, 0.9952384233474731, 0.9446126222610474, 0.986452579498291, 0.9506329298019409, 0.8339417576789856, 0.8861371278762817]"
